最寄の交通機関,最寄の駅又はバス停,駐輪場名,住所,原動機付自転車の駐車可否
地下鉄東西線,円山公園駅,円山公園駅路上駐輪場,北海道札幌市中央区大通西25丁目,50cc以下は可
地下鉄東西線,円山公園駅,円山公園駅交通局駐輪場,北海道札幌市中央区大通西27丁目,50cc以下は可
地下鉄東西線,西18丁目駅,西18丁目駅路上第6駐輪場,北海道札幌市中央区大通西18丁目,50cc以下は可
地下鉄東西線,西18丁目駅,西18丁目駅駐輪場,北海道札幌市中央区大通西17丁目,50cc以下は可
地下鉄東西線,西18丁目駅,西18丁目駅路上第4駐輪場,北海道札幌市中央区大通西19丁目,50cc以下は可
地下鉄東西線,西18丁目駅,西18丁目駅路上第3駐輪場,北海道札幌市中央区大通西19丁目,50cc以下は可
地下鉄東西線,西18丁目駅,西18丁目駅1番出口駐輪場,北海道札幌市中央区大通西19丁目,50cc以下は可
地下鉄東西線,西18丁目駅,西18丁目駅5番出口駐輪場,北海道札幌市中央区大通西16丁目,50cc以下は可
地下鉄東西線,西18丁目駅,西18丁目駅路上第5駐輪場,北海道札幌市中央区大通西18丁目,50cc以下は可
地下鉄東西線,西18丁目駅,西18丁目駅路上第2駐輪場,北海道札幌市中央区北1条西18丁目,50cc以下は可
地下鉄東西線,西18丁目駅,西18丁目駅路上第1駐輪場,北海道札幌市中央区北1条西19丁目,50cc以下は可
地下鉄東西線,西18丁目駅,西18丁目駅路上第7駐輪場,北海道札幌市中央区大通西19丁目,50cc以下は可
地下鉄東西線,西11丁目駅,西11丁目駅大通西10丁目駐輪場,北海道札幌市中央区大通西10丁目,50cc以下は可
地下鉄東西線,西11丁目駅,西11丁目駅大通西11丁目駐輪場,北海道札幌市中央区大通西11丁目,50cc以下は可
地下鉄東西線,バスセンター前駅,バスセンター前駅駐輪場,北海道札幌市中央区大通東5丁目,125cc以下は可
地下鉄東西線,バスセンター前駅,大通駅第3路上駐輪場,北海道札幌市中央区南1条東1丁目,50cc以下は可
地下鉄東西線,バスセンター前駅,バスセンター前駅暫定駐輪場,北海道札幌市中央区大通東2丁目,125cc以下は可
地下鉄東西線,菊水駅,菊水駅駐輪場,北海道札幌市白石区菊水2条3丁目,125cc以下は可
地下鉄東西線,東札幌駅,東札幌駅路上駐輪場,北海道札幌市白石区東札幌2条2丁目,50cc以下は可
地下鉄東西線,東札幌駅,東札幌駅交通局駐輪場,北海道札幌市白石区東札幌2条2丁目,50cc以下は可
地下鉄東西線,白石駅,白石駅望月寒川第1駐輪場,北海道札幌市白石区東札幌2条6丁目,125cc以下は可
地下鉄東西線,白石駅,白石駅望月寒川第2駐輪場,北海道札幌市白石区東札幌3条6丁目,50cc以下は可
地下鉄東西線,白石駅,白石駅望月寒川第3駐輪場,北海道札幌市白石区東札幌2条6丁目,50cc以下は可
地下鉄東西線,白石駅,白石駅望月寒川第4駐輪場,北海道札幌市白石区東札幌2条6丁目,50cc以下は可
地下鉄東西線,白石駅,地下鉄白石駅地下駐輪場,北海道札幌市白石区南郷通1丁目南,不可
地下鉄東西線,南郷７丁目駅,南郷7丁目駅交通局第1駐輪場,北海道札幌市白石区南郷通7丁目北,50cc以下は可
地下鉄東西線,南郷７丁目駅,南郷7丁目駅交通局第2駐輪場,北海道札幌市白石区南郷通7丁目南,50cc以下は可
地下鉄東西線,南郷７丁目駅,南郷7丁目駅交通局第3駐輪場,北海道札幌市白石区南郷通7丁目北,50cc以下は可
地下鉄東西線,南郷７丁目駅,南郷7丁目駅交通局第4駐輪場,北海道札幌市白石区南郷通8丁目南,50cc以下は可
地下鉄東西線,南郷７丁目駅,南郷7丁目駅交通局第5駐輪場,北海道札幌市白石区南郷通7丁目南,50cc以下は可
地下鉄東西線,南郷７丁目駅,南郷7丁目駅バスターミナル駐輪場,北海道札幌市白石区南郷通7丁目北,50cc以下は可
地下鉄東西線,南郷７丁目駅,南郷7丁目駅みどり公園南路上駐輪場,北海道札幌市白石区南郷通8丁目北,50cc以下は可
地下鉄東西線,南郷７丁目駅,南郷7丁目駅万生公園第1駐輪場,北海道札幌市白石区南郷通8丁目南,50cc以下は可
地下鉄東西線,南郷７丁目駅,南郷7丁目駅万生公園第2駐輪場,北海道札幌市白石区南郷通8丁目南,50cc以下は可
地下鉄東西線,南郷13丁目駅,南郷13丁目駅交通局第1駐輪場,北海道札幌市白石区本郷通13丁目,50cc以下は可
地下鉄東西線,南郷13丁目駅,南郷13丁目駅交通局第2駐輪場,北海道札幌市白石区南郷通13丁目南,50cc以下は可
地下鉄東西線,南郷13丁目駅,南郷13丁目駅交通局第3駐輪場,北海道札幌市白石区南郷通14丁目北,50cc以下は可
地下鉄東西線,南郷18丁目駅,南郷18丁目駅第1駐輪場,北海道札幌市白石区南郷通18丁目南,50cc以下は可
地下鉄東西線,南郷18丁目駅,南郷18丁目駅第2駐輪場,北海道札幌市白石区南郷通18丁目南,50cc以下は可
地下鉄東西線,南郷18丁目駅,南郷18丁目駅路上第1駐輪場,北海道札幌市白石区南郷通19丁目南,50cc以下は可
地下鉄東西線,南郷18丁目駅,南郷18丁目駅路上第2駐輪場,北海道札幌市白石区南郷通19丁目南,50cc以下は可
地下鉄東西線,南郷18丁目駅,南郷18丁目駅交通局第1駐輪場,北海道札幌市白石区南郷通18丁目南,50cc以下は可
地下鉄東西線,南郷18丁目駅,南郷18丁目駅交通局第2駐輪場,北海道札幌市白石区南郷通18丁目北,50cc以下は可
地下鉄東西線,南郷18丁目駅,南郷18丁目駅交通局第3駐輪場,北海道札幌市白石区南郷通18丁目南,50cc以下は可
地下鉄東西線,南郷18丁目駅,南郷18丁目駅交通局第4駐輪場,北海道札幌市白石区南郷通19丁目南,50cc以下は可
地下鉄東西線,南郷18丁目駅,南郷18丁目駅路上第3駐輪場,北海道札幌市白石区南郷通19丁目南,50cc以下は可
地下鉄東西線,南郷18丁目駅,南郷18丁目駅ｻｲｸﾘﾝｸﾞﾛｰﾄﾞ駐輪場,北海道札幌市白石区南郷通18丁目南,50cc以下は可
地下鉄東西線,大谷地駅,大谷地駅駐輪場,北海道札幌市厚別区大谷地東3丁目,50cc以下は可
地下鉄東西線,大谷地駅,大谷地駅路上第1駐輪場,北海道札幌市厚別区大谷地東3丁目,50cc以下は可
地下鉄東西線,大谷地駅,大谷地駅路上第2駐輪場,北海道札幌市厚別区大谷地東3丁目,50cc以下は可
地下鉄東西線,大谷地駅,大谷地駅路上第3駐輪場,北海道札幌市厚別区大谷地東4丁目,50cc以下は可
地下鉄東西線,大谷地駅,大谷地駅第2駐輪場,北海道札幌市厚別区大谷地東2丁目,50cc以下は可
地下鉄東西線,ひばりが丘駅,ひばりが丘第1駐輪場,北海道札幌市厚別区厚別南1丁目,125cc以下は可
地下鉄東西線,ひばりが丘駅,ひばりが丘第2駐輪場,北海道札幌市厚別区厚別中央1条3丁目,125cc以下は可
